"user_id","screen_name","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x226698188","ninadicara","Nina","Newport, Wales","(she/her) Tweeting about data science, mental health, social work, PhD life and the third sector <U+0001F450>  co-organiser of #DataEthicsClub","https://t.co/AvkWwmmXVu",FALSE,712,1679,17,6000,7762,2010-12-14 21:03:00,FALSE,"https://t.co/AvkWwmmXVu","http://ninadicara.co.uk",,"https://pbs.twimg.com/profile_banners/226698188/1573209420","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1399644705395294209/AtA6DDWA_normal.jpg"
"x11221722","jhmorin","jhmorin","Geneva, Switzerland","Associate professor at University of Geneva. Information Security, Blockchain, DRM, Digital Rights and Policy Management, Design Thinking","https://t.co/rN2TAe1BV7",FALSE,1378,439,169,4179,1967,2007-12-16 13:49:37,FALSE,"https://t.co/rN2TAe1BV7","http://jean-henry.com/",,"https://pbs.twimg.com/profile_banners/11221722/1401799285","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/568687211/jhm_normal.jpg"
"x11221722","jhmorin","jhmorin","Geneva, Switzerland","Associate professor at University of Geneva. Information Security, Blockchain, DRM, Digital Rights and Policy Management, Design Thinking","https://t.co/rN2TAe1BV7",FALSE,1378,439,169,4179,1967,2007-12-16 13:49:37,FALSE,"https://t.co/rN2TAe1BV7","http://jean-henry.com/",,"https://pbs.twimg.com/profile_banners/11221722/1401799285","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/568687211/jhm_normal.jpg"
"x2594604654","Raju1m","Raju kumar mishra","","#Kaggle Grandmaster A writer of  #PySparkRecipes a data scientist a programmer #Writer #BigData  #MachineLearning #Programmer #R #Python #Julia  #Scala #PySpark",,FALSE,1075,3567,8,1052,2670,2014-06-29 10:57:15,FALSE,,,,"https://pbs.twimg.com/profile_banners/2594604654/1506846843","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1067730068867305472/evQj1AMD_normal.jpg"
"x789119554190540800","JGIBristol","JGI Bristol","Bristol, England","#BristolDataWeek
Jean Golding Institute for data intensive research at the University of Bristol, England, UK. Making data work for everyone. #DataScience #AI","https://t.co/DnutfUpDSU",FALSE,1836,2285,21,4300,3906,2016-10-20 15:02:17,FALSE,"https://t.co/DnutfUpDSU","http://www.bristol.ac.uk/golding/",,"https://pbs.twimg.com/profile_banners/789119554190540800/1615207484","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1273563508186271746/6YGjzp4U_normal.jpg"
"x789119554190540800","JGIBristol","JGI Bristol","Bristol, England","#BristolDataWeek
Jean Golding Institute for data intensive research at the University of Bristol, England, UK. Making data work for everyone. #DataScience #AI","https://t.co/DnutfUpDSU",FALSE,1836,2285,21,4300,3906,2016-10-20 15:02:17,FALSE,"https://t.co/DnutfUpDSU","http://www.bristol.ac.uk/golding/",,"https://pbs.twimg.com/profile_banners/789119554190540800/1615207484","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1273563508186271746/6YGjzp4U_normal.jpg"
"x789119554190540800","JGIBristol","JGI Bristol","Bristol, England","#BristolDataWeek
Jean Golding Institute for data intensive research at the University of Bristol, England, UK. Making data work for everyone. #DataScience #AI","https://t.co/DnutfUpDSU",FALSE,1836,2285,21,4300,3906,2016-10-20 15:02:17,FALSE,"https://t.co/DnutfUpDSU","http://www.bristol.ac.uk/golding/",,"https://pbs.twimg.com/profile_banners/789119554190540800/1615207484","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1273563508186271746/6YGjzp4U_normal.jpg"
"x789119554190540800","JGIBristol","JGI Bristol","Bristol, England","#BristolDataWeek
Jean Golding Institute for data intensive research at the University of Bristol, England, UK. Making data work for everyone. #DataScience #AI","https://t.co/DnutfUpDSU",FALSE,1836,2285,21,4300,3906,2016-10-20 15:02:17,FALSE,"https://t.co/DnutfUpDSU","http://www.bristol.ac.uk/golding/",,"https://pbs.twimg.com/profile_banners/789119554190540800/1615207484","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1273563508186271746/6YGjzp4U_normal.jpg"
"x272658931","DarinDavisADP","Darin Davis","Kansas City Area ","District Sales Manager for Global Enterprise Solutions @adp.com. HCM Evangalist. Driven Husband and Father of two. Avid Boater, Sooner and Royals Fan","http://t.co/8zvLdI5FTA",FALSE,121,295,0,928,87,2011-03-26 22:55:29,FALSE,"http://t.co/8zvLdI5FTA","http://www.adp.com",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/573570655842492418/_aQ3m4EQ_normal.jpeg"
"x4032166413","MissIG_Geek","Miss IG Geek (she/her) <U+0001F3F3><U+FE0F><U+200D><U+0001F308>","The edge of reality","Everything you think you know is actually way more complicated than you believe it to be","https://t.co/0Rg5H22oJT",FALSE,5393,261,176,39369,69181,2015-10-24 14:46:21,FALSE,"https://t.co/0Rg5H22oJT","http://missinfogeek.net",,"https://pbs.twimg.com/profile_banners/4032166413/1481393881","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1404488652810563584/FVbBOJUK_normal.jpg"
"x4032166413","MissIG_Geek","Miss IG Geek (she/her) <U+0001F3F3><U+FE0F><U+200D><U+0001F308>","The edge of reality","Everything you think you know is actually way more complicated than you believe it to be","https://t.co/0Rg5H22oJT",FALSE,5393,261,176,39369,69181,2015-10-24 14:46:21,FALSE,"https://t.co/0Rg5H22oJT","http://missinfogeek.net",,"https://pbs.twimg.com/profile_banners/4032166413/1481393881","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1404488652810563584/FVbBOJUK_normal.jpg"
"x4032166413","MissIG_Geek","Miss IG Geek (she/her) <U+0001F3F3><U+FE0F><U+200D><U+0001F308>","The edge of reality","Everything you think you know is actually way more complicated than you believe it to be","https://t.co/0Rg5H22oJT",FALSE,5393,261,176,39369,69181,2015-10-24 14:46:21,FALSE,"https://t.co/0Rg5H22oJT","http://missinfogeek.net",,"https://pbs.twimg.com/profile_banners/4032166413/1481393881","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1404488652810563584/FVbBOJUK_normal.jpg"
"x4032166413","MissIG_Geek","Miss IG Geek (she/her) <U+0001F3F3><U+FE0F><U+200D><U+0001F308>","The edge of reality","Everything you think you know is actually way more complicated than you believe it to be","https://t.co/0Rg5H22oJT",FALSE,5393,261,176,39369,69181,2015-10-24 14:46:21,FALSE,"https://t.co/0Rg5H22oJT","http://missinfogeek.net",,"https://pbs.twimg.com/profile_banners/4032166413/1481393881","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1404488652810563584/FVbBOJUK_normal.jpg"
"x4032166413","MissIG_Geek","Miss IG Geek (she/her) <U+0001F3F3><U+FE0F><U+200D><U+0001F308>","The edge of reality","Everything you think you know is actually way more complicated than you believe it to be","https://t.co/0Rg5H22oJT",FALSE,5393,261,176,39369,69181,2015-10-24 14:46:21,FALSE,"https://t.co/0Rg5H22oJT","http://missinfogeek.net",,"https://pbs.twimg.com/profile_banners/4032166413/1481393881","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1404488652810563584/FVbBOJUK_normal.jpg"
"x61997708","tombevstwits","Tom Bevan","Blackpool, England","",,FALSE,521,1871,8,9010,4274,2009-08-01 08:52:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/61997708/1527455123","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1000845004040998913/PWFQ0RK1_normal.jpg"
"x361982257","violetbfox","Violet Fox","Washington, DC & St. Cloud, MN","The Frank Grimes of Library Twitter. (she/her) #critcat","https://t.co/EXlAmovvsu",FALSE,6967,4023,176,29793,56539,2011-08-25 17:13:49,FALSE,"https://t.co/EXlAmovvsu","http://violetbfox.info/",,"https://pbs.twimg.com/profile_banners/361982257/1407558003","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000407032786/780cf400b108e49ad7a5ed17dfb3dcf7_normal.jpeg"
"x1438820678","dave_bcs","David Cruz e Silva","Lisbon, Portugal","Venture Builder & Developer <U+0001F680> • Venture Capital • Innovation Tools • Aspiring Beer Brewer <U+0001F37B> | Co-host @ EUVC <U+0001F399> <U+2796> Check link in bio.","https://t.co/mGbkrM7GFx",FALSE,261,164,28,2276,404,2013-05-18 16:27:43,FALSE,"https://t.co/mGbkrM7GFx","http://theeuropeanvc.com",,"https://pbs.twimg.com/profile_banners/1438820678/1607781370","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/902916168423313408/a9c4DE6d_normal.jpg"
"x74211791","SASCanada","SAS Canada","Toronto, Ontario","Your guide to the latest on business analytics.","https://t.co/6rEbDXf4MD",FALSE,2608,2148,170,7417,766,2009-09-14 17:35:55,FALSE,"https://t.co/6rEbDXf4MD","http://www.sas.com/canada",,"https://pbs.twimg.com/profile_banners/74211791/1597161763","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/761667520101253120/PJ9M0SwI_normal.jpg"
"x2982793544","kbhaskar_95","Karthik Bhaskar","Toronto","MachineLearning | MSc @UofT @VectorInst | Is Artificial General Intelligence or Human Level Intelligence even possible? who knows let’s try <U+0001F609>","https://t.co/egIT8PSQ2c",FALSE,68,360,2,65,210,2015-01-14 13:55:56,FALSE,"https://t.co/egIT8PSQ2c","https://www.kbhaskar.com/",,"https://pbs.twimg.com/profile_banners/2982793544/1608162328","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1304171145449680899/llj2Vnk8_normal.jpg"
"x816102620","shakirov2036","Oleg Shakirov","","Senior Expert at https://t.co/rNrtBLkody, Consultant at @PIR_Center","https://t.co/1VipczUh6B",FALSE,2411,5002,47,7363,9439,2012-09-10 21:49:31,FALSE,"https://t.co/1VipczUh6B","http://kmiru.ru/",,"https://pbs.twimg.com/profile_banners/816102620/1542921963","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1065716204936007680/30n7lhyW_normal.jpg"
"x1012717922375143424","spcanelon","Silvia Canelón","Philadelphia, PA","Postdoctoral research scientist @UPennDBEI. Biomedical informaticist and engineer. #RStats educator. Reproductive liberation enthusiast. she/her/ella. <U+0001F1FB><U+0001F1EA>","https://t.co/70RObzD3f4",FALSE,1024,519,17,2434,5007,2018-06-29 15:22:22,FALSE,"https://t.co/70RObzD3f4","https://silvia.rbind.io",,"https://pbs.twimg.com/profile_banners/1012717922375143424/1543271976",,"http://pbs.twimg.com/profile_images/1297951140907298817/uu8GM6uK_normal.jpg"
"x268852046","BuchananEdwards","Buchanan & Edwards","Arlington, VA / Washington, DC","BE is an IT firm focused on delivering solutions that make an impact on the Federal government's top IT priorities. http://t.co/ymV37yf5","http://t.co/zpS3D9O6f2",FALSE,367,277,19,1503,158,2011-03-19 16:05:02,FALSE,"http://t.co/zpS3D9O6f2","http://www.buchanan-edwards.com",,"https://pbs.twimg.com/profile_banners/268852046/1619722204","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1399922407532544001/xn0mnb2b_normal.png"
"x578058792","EmmaE_B","Emma Booth","Manchester","#Discovery drives the #Collection,
#Metadata drives #Discovery,
#MetadataMatters
| E-Resources Metadata Specialist @UoMLibrary
she/her | Opinions my own","https://t.co/p7ljicWQtv",FALSE,525,650,27,1569,3128,2012-05-12 11:35:46,FALSE,"https://t.co/p7ljicWQtv","https://www.linkedin.com/in/emma-e-booth-9b878b51/",,"https://pbs.twimg.com/profile_banners/578058792/1564683169","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1302885449485217792/xAKTvqtN_normal.jpg"
"x1747548680","LUsajld60","john l dillon","","",,FALSE,466,1437,3,21756,76,2013-09-07 13:39:58,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1308375257984765952/w3V9oTqd_normal.jpg"
"x1398646845509750790","TILogAndDiaryE","TILogAndDiaryE","Japan","#TargetedIndividual / #TI.  Through the damage caused by #RNM, I realize that protecting ""privacy of brain data"" is of utmost importance. @TiLogAndDiary",,FALSE,9,66,0,430,258,2021-05-29 14:28:43,FALSE,,,,"https://pbs.twimg.com/profile_banners/1398646845509750790/1622299100",,"http://pbs.twimg.com/profile_images/1398647748430241793/ZEw0F6UY_normal.jpg"
"x1398646845509750790","TILogAndDiaryE","TILogAndDiaryE","Japan","#TargetedIndividual / #TI.  Through the damage caused by #RNM, I realize that protecting ""privacy of brain data"" is of utmost importance. @TiLogAndDiary",,FALSE,9,66,0,430,258,2021-05-29 14:28:43,FALSE,,,,"https://pbs.twimg.com/profile_banners/1398646845509750790/1622299100",,"http://pbs.twimg.com/profile_images/1398647748430241793/ZEw0F6UY_normal.jpg"
"x999945589260537856","NThylstrup","nanna thylstrup","Denmark","Prof @CBScph. She/her. Data, archives, discard, reuse. Uncertain Archives: Critical Keywords for Big Data (2021) + The Politics of Mass Digitization @MITPress.","https://t.co/PtsCDkJKQT",FALSE,3449,4019,45,2236,19854,2018-05-25 09:29:41,FALSE,"https://t.co/PtsCDkJKQT","https://www.cbs.dk/en/research/departments-and-centres/department-of-management-society-and-communic",,"https://pbs.twimg.com/profile_banners/999945589260537856/1602667657","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1339861951111901184/x93BIUt2_normal.jpg"
"x1205392360621969410","Data__Driven","Sarah","United Kingdom","Global Medical Education <U+0001F913><U+0001F469><U+0001F3FB> #FollowTheScience #InformedConsent 77th gets blocked! <U+0001F6AB>",,FALSE,537,1253,2,18997,29454,2019-12-13 07:42:04,FALSE,,,,"https://pbs.twimg.com/profile_banners/1205392360621969410/1576223104",,"http://pbs.twimg.com/profile_images/1343643972217040896/lDDnY0tv_normal.jpg"
"x1205392360621969410","Data__Driven","Sarah","United Kingdom","Global Medical Education <U+0001F913><U+0001F469><U+0001F3FB> #FollowTheScience #InformedConsent 77th gets blocked! <U+0001F6AB>",,FALSE,537,1253,2,18997,29454,2019-12-13 07:42:04,FALSE,,,,"https://pbs.twimg.com/profile_banners/1205392360621969410/1576223104",,"http://pbs.twimg.com/profile_images/1343643972217040896/lDDnY0tv_normal.jpg"
"x1205392360621969410","Data__Driven","Sarah","United Kingdom","Global Medical Education <U+0001F913><U+0001F469><U+0001F3FB> #FollowTheScience #InformedConsent 77th gets blocked! <U+0001F6AB>",,FALSE,537,1253,2,18997,29454,2019-12-13 07:42:04,FALSE,,,,"https://pbs.twimg.com/profile_banners/1205392360621969410/1576223104",,"http://pbs.twimg.com/profile_images/1343643972217040896/lDDnY0tv_normal.jpg"
"x1205392360621969410","Data__Driven","Sarah","United Kingdom","Global Medical Education <U+0001F913><U+0001F469><U+0001F3FB> #FollowTheScience #InformedConsent 77th gets blocked! <U+0001F6AB>",,FALSE,537,1253,2,18997,29454,2019-12-13 07:42:04,FALSE,,,,"https://pbs.twimg.com/profile_banners/1205392360621969410/1576223104",,"http://pbs.twimg.com/profile_images/1343643972217040896/lDDnY0tv_normal.jpg"
"x1205392360621969410","Data__Driven","Sarah","United Kingdom","Global Medical Education <U+0001F913><U+0001F469><U+0001F3FB> #FollowTheScience #InformedConsent 77th gets blocked! <U+0001F6AB>",,FALSE,537,1253,2,18997,29454,2019-12-13 07:42:04,FALSE,,,,"https://pbs.twimg.com/profile_banners/1205392360621969410/1576223104",,"http://pbs.twimg.com/profile_images/1343643972217040896/lDDnY0tv_normal.jpg"
"x1205392360621969410","Data__Driven","Sarah","United Kingdom","Global Medical Education <U+0001F913><U+0001F469><U+0001F3FB> #FollowTheScience #InformedConsent 77th gets blocked! <U+0001F6AB>",,FALSE,537,1253,2,18997,29454,2019-12-13 07:42:04,FALSE,,,,"https://pbs.twimg.com/profile_banners/1205392360621969410/1576223104",,"http://pbs.twimg.com/profile_images/1343643972217040896/lDDnY0tv_normal.jpg"
"x1205392360621969410","Data__Driven","Sarah","United Kingdom","Global Medical Education <U+0001F913><U+0001F469><U+0001F3FB> #FollowTheScience #InformedConsent 77th gets blocked! <U+0001F6AB>",,FALSE,537,1253,2,18997,29454,2019-12-13 07:42:04,FALSE,,,,"https://pbs.twimg.com/profile_banners/1205392360621969410/1576223104",,"http://pbs.twimg.com/profile_images/1343643972217040896/lDDnY0tv_normal.jpg"
